modelUsed,numEpochs,testLoss,testMae
small,32,0.009136286564171314,0.058979686349630356
medium,32,0.009074641391634941,0.05856101214885712
large,32,0.00898586492985487,0.058948516845703125
deep,32,0.009849004447460175,0.05973159521818161
small,33,0.008882652036845684,0.06173941120505333
medium,33,0.008975226432085037,0.06400186568498611
large,33,0.008832382038235664,0.05865941569209099
deep,33,0.009124139323830605,0.06160690635442734
small,34,0.009030630812048912,0.060403645038604736
medium,34,0.008766255341470242,0.0602344311773777
large,34,0.00897612702101469,0.060151152312755585
deep,34,0.009094888344407082,0.05959315225481987
small,35,0.009379490278661251,0.06041345372796059
medium,35,0.00903948675841093,0.059125643223524094
large,35,0.009188740514218807,0.06499407440423965
deep,35,0.009325917810201645,0.06074617803096771
small,36,0.009213782846927643,0.06221862509846687
medium,36,0.009001454338431358,0.060641102492809296
large,36,0.008800935931503773,0.060479119420051575
deep,36,0.008852708153426647,0.06139487773180008
small,37,0.009458452463150024,0.06759506464004517
medium,37,0.008883331902325153,0.05927305296063423
large,37,0.009156553074717522,0.05920799449086189
deep,37,0.009269125759601593,0.058421529829502106
small,38,0.008839474990963936,0.059135012328624725
medium,38,0.00902265403419733,0.058563292026519775
large,38,0.009560982696712017,0.05999290198087692
deep,38,0.009184340015053749,0.06362804025411606
small,39,0.00934598408639431,0.060340747237205505
medium,39,0.009016920812427998,0.06257205456495285
large,39,0.009146180003881454,0.06276505440473557
deep,39,0.008883815258741379,0.05909836292266846
small,40,0.009007495827972889,0.061234936118125916
medium,40,0.0090287821367383,0.05872571840882301
large,40,0.008816578425467014,0.0611518956720829
deep,40,0.009748898446559906,0.06928960978984833
small,41,0.009081422351300716,0.06106553226709366
medium,41,0.00933106429874897,0.05880262702703476
large,41,0.00947878323495388,0.06344271451234818
deep,41,0.009055361151695251,0.06069542095065117
small,42,0.009220810607075691,0.059042658656835556
medium,42,0.00916806049644947,0.06402076780796051
large,42,0.009247241541743279,0.06419304013252258
deep,42,0.009511051699519157,0.060647785663604736
small,43,0.009304685518145561,0.06654675304889679
medium,43,0.0092351408675313,0.061789728701114655
large,43,0.009146510623395443,0.061137329787015915
deep,43,0.009063971228897572,0.060587573796510696
small,44,0.010135858319699764,0.061236899346113205
medium,44,0.009146401658654213,0.06564927101135254
large,44,0.009159128181636333,0.05894362926483154
deep,44,0.009770250879228115,0.07133626192808151
small,45,0.009032238274812698,0.05980602651834488
medium,45,0.009035415947437286,0.05990687012672424
large,45,0.008922943845391273,0.05713072046637535
deep,45,0.009104670025408268,0.060861438512802124
small,46,0.009115676395595074,0.06337539851665497
medium,46,0.009113025851547718,0.059662312269210815
large,46,0.008878356777131557,0.06010935455560684
deep,46,0.00893068965524435,0.059968266636133194
small,47,0.00903142150491476,0.062246643006801605
medium,47,0.009266422130167484,0.05880623310804367
large,47,0.00889576319605112,0.061086058616638184
deep,47,0.009310612455010414,0.05849611386656761
small,48,0.009526117704808712,0.05976918712258339
medium,48,0.009081228636205196,0.0591752752661705
large,48,0.009244461543858051,0.06430701166391373
deep,48,0.009084763005375862,0.06228804588317871
small,49,0.009224317036569118,0.061525095254182816
medium,49,0.009029251523315907,0.06229923292994499
large,49,0.00916692242026329,0.06037357077002525
deep,49,0.0093070138245821,0.06359375268220901
