numEpochs,learningRate,testLoss,testMae
1,0.001,0.6851624846458435,0.5719273686408997
1,0.01,0.1629679650068283,0.3115014135837555
1,0.1,0.012671696953475475,0.08012156188488007
1,0.2,0.015181885100901127,0.08444806188344955
1,0.5,0.029485778883099556,0.11130762845277786
2,0.001,0.5649579167366028,0.5326763987541199
2,0.01,0.04989338293671608,0.17392821609973907
2,0.1,0.01043763943016529,0.06974562257528305
2,0.2,0.009940942749381065,0.06413894891738892
2,0.5,0.017801281064748764,0.08843961358070374
3,0.001,0.7362173795700073,0.6078532338142395
3,0.01,0.04611055925488472,0.13838039338588715
3,0.1,0.009503611363470554,0.0640321597456932
3,0.2,0.030569754540920258,0.11048301309347153
3,0.5,0.01058268640190363,0.06529095023870468
4,0.001,0.6491157412528992,0.5382476449012756
4,0.01,0.015269421972334385,0.08277951180934906
4,0.1,0.009722025133669376,0.061407167464494705
4,0.2,0.011849869973957539,0.07259038835763931
4,0.5,0.011979089118540287,0.07672491669654846
5,0.001,0.7005990147590637,0.5569435358047485
5,0.01,0.012991933152079582,0.07332611829042435
5,0.1,0.00973697379231453,0.06865092366933823
5,0.2,0.01163412444293499,0.08209535479545593
5,0.5,0.023457085713744164,0.1079871729016304
6,0.001,0.20216800272464752,0.34399425983428955
6,0.01,0.00949280709028244,0.06451941281557083
6,0.1,0.010807746089994907,0.06626911461353302
6,0.2,0.009118488058447838,0.061113450676202774
6,0.5,0.0305550005286932,0.11886012554168701
7,0.001,0.1511562317609787,0.2907528579235077
7,0.01,0.009493320249021053,0.06429675966501236
7,0.1,0.010530040599405766,0.06984472274780273
7,0.2,0.009798179380595684,0.06780704110860825
7,0.5,0.018217939883470535,0.09513985365629196
8,0.001,0.27545106410980225,0.3610706031322479
8,0.01,0.009881877340376377,0.06668723374605179
8,0.1,0.008806440979242325,0.05956834554672241
8,0.2,0.010738627053797245,0.06802938878536224
8,0.5,0.01366924587637186,0.07705149799585342
9,0.001,0.21122540533542633,0.33800366520881653
9,0.01,0.00881059467792511,0.0607241727411747
9,0.1,0.010062306188046932,0.06726706773042679
9,0.2,0.03374546766281128,0.11117877811193466
9,0.5,0.05703660100698471,0.1429307758808136
10,0.001,0.8045073747634888,0.5168190002441406
10,0.01,0.009312791749835014,0.06032565236091614
10,0.1,0.01327854860574007,0.07967851310968399
10,0.2,0.01717868633568287,0.08303439617156982
10,0.5,0.014051802456378937,0.08331534266471863
11,0.001,0.8304268717765808,0.6054244041442871
11,0.01,0.00889089796692133,0.05953928455710411
11,0.1,0.011425198055803776,0.06669358909130096
11,0.2,0.010508157312870026,0.06543341279029846
11,0.5,0.02756522037088871,0.11760911345481873
12,0.001,0.16039730608463287,0.31053265929222107
12,0.01,0.008877884596586227,0.05919912829995155
12,0.1,0.009908447042107582,0.06464076042175293
12,0.2,0.009576714597642422,0.06397754698991776
12,0.5,0.014271529391407967,0.08490290492773056
13,0.001,0.3343590497970581,0.4277687072753906
13,0.01,0.009085366502404213,0.06014452874660492
13,0.1,0.010152587667107582,0.06877128779888153
13,0.2,0.012650009244680405,0.0732095018029213
13,0.5,0.04202856495976448,0.13720843195915222
14,0.001,0.04910491034388542,0.1558733880519867
14,0.01,0.00881762895733118,0.05983087047934532
14,0.1,0.013208094984292984,0.07234086096286774
14,0.2,0.018738681450486183,0.08707807958126068
14,0.5,0.02861892618238926,0.14329805970191956
15,0.001,0.1292138695716858,0.26716306805610657
15,0.01,0.008790872059762478,0.059964727610349655
15,0.1,0.009820335544645786,0.06276606023311615
15,0.2,0.011769457720220089,0.08189410716295242
15,0.5,0.10643906891345978,0.19833222031593323
16,0.001,0.21713237464427948,0.2969803810119629
