numEpochs,learningRate,testLoss,testMae
1,0.001,0.0358494371175766,0.16008450090885162
1,0.01,0.009355220943689346,0.06474171578884125
1,0.1,0.011171195656061172,0.07597228139638901
1,0.2,0.011257169768214226,0.07005501538515091
1,0.5,0.08301226794719696,0.25543704628944397
2,0.001,0.030396675691008568,0.13957497477531433
2,0.01,0.009293940849602222,0.06392201781272888
2,0.1,0.01131436601281166,0.06666674464941025
2,0.2,0.010238593444228172,0.06522119790315628
2,0.5,0.014406728558242321,0.08850578963756561
3,0.001,0.022219151258468628,0.1183130219578743
3,0.01,0.00938615296036005,0.06433618813753128
3,0.1,0.010517400689423084,0.06517380475997925
3,0.2,0.010216739028692245,0.06551719456911087
3,0.5,0.010188572108745575,0.06648879498243332
4,0.001,0.0130387544631958,0.08618728071451187
4,0.01,0.009419768117368221,0.062380965799093246
4,0.1,0.010398346930742264,0.0642368271946907
4,0.2,0.010847652330994606,0.0638289526104927
4,0.5,0.010205283761024475,0.065593421459198
5,0.001,0.01608007587492466,0.09393072128295898
5,0.01,0.009439497254788876,0.06158881634473801
5,0.1,0.010394338518381119,0.06673293560743332
5,0.2,0.010237989015877247,0.0665036141872406
5,0.5,0.010259132832288742,0.06820625066757202
6,0.001,0.012204031459987164,0.08074440062046051
6,0.01,0.00925819668918848,0.061439398676157
6,0.1,0.010354393161833286,0.06404177844524384
6,0.2,0.010457667522132397,0.0645986869931221
6,0.5,0.010214541107416153,0.06722702831029892
7,0.001,0.010777494870126247,0.07373100519180298
7,0.01,0.009373953565955162,0.06399133056402206
7,0.1,0.011035716161131859,0.06411094963550568
7,0.2,0.010408959351480007,0.06412053853273392
7,0.5,0.010301266796886921,0.06560618430376053
8,0.001,0.011612292379140854,0.07715064287185669
8,0.01,0.00952563900500536,0.06600552797317505
8,0.1,0.010818956419825554,0.07653193175792694
8,0.2,0.010776560753583908,0.0751095786690712
8,0.5,0.012918547727167606,0.08346763998270035
9,0.001,0.010143926367163658,0.07217509299516678
9,0.01,0.009356689639389515,0.06104099377989769
